timestamp,cur_x,cur_y,cur_z,cur_vx,cur_vy,cur_vz,cur_ax,cur_ay,cur_az,not_use,not_use,cur_yaw,des_yaw,des_pos_x,des_pos_y,des_pos_z,des_vel_x,des_vel_y,des_vel_z,des_acc_x,des_acc_y,des_acc_z
1712840643564082975,48.5,105.5,34,-2.12405e-08,2.03171e-09,2.91774e-09,-1.20047e-07,9.52479e-08,3.30782e-08,0,0,4.196e-10,0,48.5,105.5,34,0,0,0,0,0,0
1712840644287311480,48.5,105.5,34,1.53641e-08,1.44511e-08,8.3378e-10,1.19319e-07,-5.59162e-08,2.59838e-07,0,0,6.41387e-12,0.00942478,48.5,105.5,34,0.00360884,-0.000145971,-0.00182686,0.358303,-0.0140667,-0.180618
1712840644307574487,48.5,105.5,34,4.43783e-06,-1.82724e-07,-0.000678336,0.00107676,-4.76017e-05,-0.0777555,0,0,3.48505e-05,0.00608453,48.5002,105.5,33.9999,0.0142299,-0.000541853,-0.00714311,0.701276,-0.0250105,-0.348992
1712840644327233184,48.5,105.5,34,0.000104135,-4.44607e-06,-0.00347309,0.0115671,-0.000481339,-0.206149,0,0,0.000324839,0.00708811,48.5006,105.5,33.9997,0.0315598,-0.00112633,-0.015707,1.02923,-0.032945,-0.505433
1712840644348488998,48.5,105.5,33.9998,0.000622329,-2.48562e-05,-0.00912036,0.0454165,-0.00172425,-0.359432,0,0,0.000953635,0.00716612,48.5015,105.5,33.9993,0.0544621,-0.00189405,-0.0270471,1.25968,-0.0433253,-0.627053
1712840644367200413,48.5,105.5,33.9996,0.00216949,-8.06659e-05,-0.0177621,0.116335,-0.00404973,-0.50431,0,0,0.00189103,0.00771448,48.5028,105.5,33.9986,0.081895,-0.00283964,-0.040729,1.48231,-0.050751,-0.739654
1712840644387081380,48.5001,105.5,33.9991,0.00557628,-0.000194753,-0.0292235,0.232224,-0.00755885,-0.637996,0,0,0.00306214,0.0076306,48.5048,105.5,33.9976,0.113703,-0.00390512,-0.0565747,1.69723,-0.0553312,-0.84347
1712840644407096161,48.5003,105.5,33.9984,0.0117707,-0.000390603,-0.0431664,0.394916,-0.0122035,-0.752205,0,0,0.00437797,0.00767915,48.5074,105.5,33.9963,0.149733,-0.00503465,-0.0744108,1.90456,-0.057175,-0.938736
1712840644427141689,48.5006,105.5,33.9974,0.021661,-0.000689076,-0.0591848,0.600867,-0.0177765,-0.845675,0,0,0.00574468,0.0084848,48.5108,105.5,33.9946,0.189836,-0.0061746,-0.0940687,2.10444,-0.0563916,-1.02568
1712840644447023642,48.5012,105.5,33.996,0.0360453,-0.00110581,-0.0768726,0.842918,-0.023975,-0.91966,0,0,0.00708124,0.00864928,48.515,105.499,33.9925,0.232741,-0.0072723,-0.115421,2.18627,-0.0529976,-1.10831
1712840644467465073,48.5021,105.5,33.9943,0.0555452,-0.0016497,-0.0959515,1.1103,-0.030426,-0.987086,0,0,0.00834342,0.00935268,48.5201,105.499,33.99,0.277293,-0.00827956,-0.138352,2.26905,-0.0473623,-1.1835
1712840644487166395,48.5034,105.5,33.9922,0.0805313,-0.00232187,-0.116356,1.38906,-0.0367381,-1.05269,0,0,0.00950322,0.0098914,48.5261,105.499,33.987,0.323509,-0.00915245,-0.162713,2.35267,-0.0395744,-1.25146
1712840644507232158,48.5053,105.5,33.9896,0.111085,-0.00311571,-0.138066,1.66479,-0.0425302,-1.11786,0,0,0.0105493,0.0105906,48.5331,105.499,33.9835,0.370627,-0.00959808,-0.188928,2.36002,-0.00494029,-1.36845
1712840644527585864,48.5079,105.5,33.9866,0.146964,-0.00401538,-0.161344,1.91874,-0.0471898,-1.21382,0,0,0.0114778,0.0117471,48.541,105.499,33.9794,0.417946,-0.0093482,-0.217389,2.37282,0.0299718,-1.47607
1712840644547046159,48.5112,105.5,33.9832,0.187636,-0.0049903,-0.186717,2.14273,-0.049879,-1.32696,0,0,0.012267,0.0133851,48.5498,105.499,33.9748,0.465574,-0.00839756,-0.24791,2.39086,0.0651309,-1.57455
1712840644567260033,48.5154,105.5,33.9791,0.232447,-0.00599014,-0.214481,2.33321,-0.0495091,-1.44872,0,0,0.0128881,0.0152512,48.5596,105.498,33.9695,0.513614,-0.00674153,-0.280312,2.41393,0.100506,-1.66416
1712840644589157355,48.5206,105.499,33.9746,0.28076,-0.00694353,-0.244647,2.49351,-0.0450823,-1.56632,0,0,0.0133251,0.0173841,48.5703,105.498,33.9635,0.560857,-0.00432902,-0.314014,2.31273,0.140645,-1.70555
1712840644607172168,48.5267,105.499,33.9693,0.332036,-0.00776188,-0.277025,2.62956,-0.035909,-1.67219,0,0,0.0135783,0.0199089,48.582,105.498,33.9569,0.606214,-0.00111978,-0.348513,2.22522,0.180178,-1.7438
1712840644627102224,48.5339,105.499,33.9635,0.385783,-0.00834511,-0.31151,2.7417,-0.0215128,-1.77438,0,0,0.0136578,0.022558,48.5946,105.498,33.9496,0.649955,0.00287402,-0.383745,2.15096,0.219101,-1.77897
1712840644647452238,48.5421,105.499,33.9569,0.441549,-0.00858583,-0.347984,2.83146,-0.00164173,-1.87168,0,0,0.0135859,0.0254789,48.608,105.498,33.9416,0.692964,0.0076817,-0.419473,2.15085,0.261758,-1.79369
1712840644667243298,48.5515,105.499,33.9495,0.49894,-0.00837459,-0.386221,2.90516,0.0236671,-1.94844,0,0,0.0133981,0.0284587,48.6223,105.499,33.9328,0.736021,0.0133478,-0.455489,2.15555,0.304939,-1.80781
