timestamp,cur_x,cur_y,cur_z,cur_vx,cur_vy,cur_vz,cur_ax,cur_ay,cur_az,not_use,not_use,cur_yaw,des_yaw,des_pos_x,des_pos_y,des_pos_z,des_vel_x,des_vel_y,des_vel_z,des_acc_x,des_acc_y,des_acc_z
1719654824173047363,0.0118775,0.00148417,1.99107,0.113162,0.0130331,-0.0794333,0.64888,0.0517772,-0.165663,0,0,0.0188788,0.0450937,0.020833,0.00232473,2.00043,0.144734,0.0137271,0.001729,0.63402,0.0386222,-0.0087229
1719654824193162708,0.0142724,0.00175497,1.98946,0.126415,0.0140351,-0.0801848,0.675739,0.0484037,0.0722314,0,0,0.0104116,0.0450554,0.023856,0.00260703,2.00046,0.157643,0.0145047,0.00153056,0.656794,0.0391339,-0.0110972
1719654824213103080,0.0169374,0.00204513,1.98788,0.140162,0.0149697,-0.0774033,0.698579,0.0451233,0.187988,0,0,0.00757483,0.0354314,0.0271416,0.00290493,2.00049,0.170975,0.0152846,0.00129114,0.676274,0.0388555,-0.0128242
1719654824233260260,0.0198819,0.00235336,1.98638,0.154349,0.0158445,-0.0733529,0.71972,0.0424954,0.19784,0,0,0.00965344,-0.00206204,0.0306976,0.00321837,2.00051,0.184691,0.0160586,0.00101844,0.695313,0.0385315,-0.0144241
1719654824253138854,0.0231141,0.00267862,1.98494,0.168918,0.016675,-0.0704229,0.734348,0.0405996,0.0476838,0,0,0.0151708,-0.0119778,0.0345315,0.00354673,2.00053,0.19875,0.016751,0.000718597,0.710475,0.0307476,-0.0155415
1719654824273174232,0.0266408,0.00302021,1.98354,0.183841,0.0174835,-0.0701424,0.75997,0.0405502,0.00220792,0,0,0.0216469,-0.068579,0.0386496,0.00388739,2.00054,0.213108,0.0172901,0.00039753,0.725325,0.0232037,-0.0165466
1719654824293112938,0.0304715,0.00337804,1.98214,0.199265,0.0182996,-0.0710504,0.774099,0.0406791,-0.19595,0,0,0.0264941,-0.0660216,0.0430574,0.0042374,2.00054,0.227706,0.0176902,6.01076e-05,0.734448,0.0168396,-0.0171799
1719654824313125147,0.0346139,0.00375225,1.98068,0.215117,0.0191259,-0.0738883,0.815359,0.0420427,-0.0304641,0,0,0.0270376,-0.0633875,0.047759,0.00459416,2.00054,0.242485,0.0179651,-0.000289042,0.743449,0.0106841,-0.0177196
1719654824333051064,0.0390822,0.00414321,1.97921,0.231839,0.0199696,-0.072517,0.853831,0.0418391,0.139543,0,0,0.0216949,-0.0635667,0.052758,0.0049552,2.00053,0.257443,0.0181189,-0.000648064,0.752327,0.0047336,-0.0181674
1719654824353097783,0.0438914,0.00455079,1.97779,0.249153,0.0207777,-0.0693101,0.875294,0.0384241,0.164732,0,0,0.0108382,-0.0550827,0.0580581,0.00531861,2.00052,0.272605,0.0182272,-0.00104018,0.76382,0.00607334,-0.0210136
1719654824372949693,0.048784,0.00495217,1.9765,0.265886,0.0214534,-0.0665349,0.883893,0.0322505,0.113081,0,0,-0.00321373,-0.0279913,0.0636637,0.00568446,2.00049,0.287994,0.0183611,-0.0014874,0.77502,0.00729731,-0.0236778
1719654824393136568,0.0537132,0.00534316,1.97532,0.281783,0.0219654,-0.0655152,0.878771,0.0243607,-0.0323528,0,0,-0.0181475,-0.0381178,0.0695789,0.00605279,2.00046,0.30354,0.0184547,-0.00196727,0.779562,0.00210184,-0.024293
1719654824413098576,0.0595247,0.00578673,1.974,0.299393,0.022362,-0.0663623,0.886629,0.015388,0.0027858,0,0,-0.0340054,-0.0571132,0.0758059,0.00642196,2.00041,0.319176,0.0184463,-0.00245845,0.784097,-0.00291745,-0.0248081
1719654824433708141,0.065691,0.00623647,1.97268,0.317289,0.0225833,-0.06477,0.903191,0.00683352,0.160501,0,0,-0.046924,-0.0675009,0.0823473,0.00679022,2.00036,0.335008,0.0183751,-0.00295842,0.798986,-0.00421747,-0.0251781
1719654824453119820,0.0715491,0.00664368,1.97155,0.333646,0.0226414,-0.0609312,0.913098,-0.000248365,0.253116,0,0,-0.0554267,-0.0826895,0.0892082,0.00715679,2.00029,0.351133,0.0182771,-0.00346513,0.813438,-0.00559603,-0.0254822
1719654824473246588,0.0784051,0.00709599,1.97038,0.35197,0.0225664,-0.0554321,0.91812,-0.00703024,0.281222,0,0,-0.0617411,-0.0829248,0.0963945,0.00752112,2.00022,0.367543,0.0181507,-0.00397728,0.82746,-0.00705158,-0.0257215
1719654824493116502,0.0856285,0.00754552,1.96933,0.370389,0.0223694,-0.0496675,0.924364,-0.0124364,0.296242,0,0,-0.0657029,-0.0935547,0.103911,0.00788262,2.00014,0.384159,0.0179944,-0.00448575,0.834144,-0.00860015,-0.0251194
1719654824513083545,0.0932217,0.00799014,1.9684,0.388964,0.0220785,-0.0436231,0.933145,-0.0164097,0.301383,0,0,-0.068352,-0.105119,0.111762,0.00824068,2.00004,0.400907,0.0178061,-0.0049818,0.840664,-0.010241,-0.0244795
1719654824533864205,0.101188,0.00842823,1.96759,0.407737,0.0217218,-0.0375977,0.944126,-0.0190532,0.296369,0,0,-0.0706055,-0.10542,0.119948,0.00859464,1.99994,0.417784,0.0175841,-0.00546469,0.847021,-0.0119724,-0.0238027
1719654824553138327,0.109533,0.00885873,1.96689,0.426755,0.0213231,-0.0316218,0.957799,-0.0206668,0.301308,0,0,-0.0733401,-0.114236,0.128474,0.00894387,1.99982,0.43474,0.0173367,-0.00594211,0.848573,-0.0127964,-0.0239296
1719654824573116048,0.11826,0.00928099,1.96632,0.446045,0.0208995,-0.0255839,0.970732,-0.0216084,0.298962,0,0,-0.077069,-0.123317,0.137338,0.00928799,1.9997,0.451727,0.0170713,-0.00642147,0.850076,-0.0137615,-0.023997
1719654824593125965,0.127376,0.00969461,1.96587,0.465568,0.0204605,-0.0196957,0.980853,-0.022269,0.287294,0,0,-0.081965,-0.115806,0.146543,0.00962649,1.99957,0.468822,0.0167714,-0.00690779,0.859414,-0.0161891,-0.0246177
1719654824613039393,0.136884,0.0100993,1.96553,0.485251,0.0200087,-0.0141443,0.986169,-0.0229308,0.262363,0,0,-0.0880612,-0.0027089,0.156092,0.00995854,1.99942,0.486102,0.0164254,-0.00740549,0.868494,-0.018375,-0.0251353
1719654824633323008,0.146785,0.0104949,1.96528,0.504509,0.0195529,-0.0140345,0.904572,-0.0218951,-0.599766,0,0,-0.0948409,0.0772099,0.165989,0.0102832,1.99927,0.503537,0.0160274,-0.00790151,0.875034,-0.0213788,-0.0244586
1719654824653071998,0.157054,0.0108815,1.96486,0.52248,0.0191031,-0.0272691,0.925082,-0.0240209,-0.388599,0,0,-0.0990409,0.0795674,0.176235,0.0105992,1.99911,0.521102,0.0155721,-0.00838351,0.88141,-0.0240952,-0.0237332
1719654824673059459,0.167693,0.0112585,1.96429,0.54163,0.0185846,-0.0281919,0.978451,-0.0276079,0.18533,0,0,-0.0963828,0.0753949,0.186833,0.0109057,1.99893,0.538775,0.0150587,-0.00886164,0.885848,-0.0272024,-0.0240656
1719654824693071242,0.178721,0.0116245,1.96376,0.561158,0.0180097,-0.0244092,0.969991,-0.0297871,0.148939,0,0,-0.0845581,0.0711125,0.197786,0.0112012,1.99875,0.556536,0.014486,-0.00934558,0.890223,-0.0300216,-0.0243146
1719654824714573271,0.190136,0.0119787,1.96329,0.580231,0.0173977,-0.0242617,0.934489,-0.0313607,-0.164308,0,0,-0.0637571,0.0669324,0.209095,0.0114846,1.99856,0.574383,0.0138453,-0.00981618,0.894481,-0.0339926,-0.0227449
1719654824733117680,0.201926,0.0123202,1.96275,0.598569,0.0167528,-0.0307534,0.900967,-0.033211,-0.470971,0,0,-0.0362372,0.0626483,0.220762,0.0117545,1.99836,0.592314,0.0131284,-0.0102554,0.898637,-0.0376376,-0.0211722
